signature_type,signature,occurrence_count,document_count,object_count,sections,objects,documents
page_layout,1d36ae478e03ccc99fd530c51f16d1bb54777ba1,44,6,2,ИД|ИОС5.4.1|ПОКР,1724_25|1725_25,1724_25:doc_34536dc1|1724_25:doc_801fee11|1724_25:doc_c8e972bf|1725_25:doc_10be5f2b|1725_25:doc_32fcaa56|1725_25:doc_df6a5246
page_layout,3db5371a22aad835d331a82f7b1eaee5ee16cf9d,4,4,2,ИД|СМ,1724_25|1725_25,1724_25:doc_801fee11|1724_25:doc_b44ce08b|1725_25:doc_c985f0bc|1725_25:doc_df6a5246
page_layout,017eb10a3f9561e31c66dafe42586c8230200a80,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,01c64fcf46a18779e9fe1338f98d178a7aa5e4b2,2,2,1,ИД|ИОС5.4.1,1724_25,1724_25:doc_801fee11|1724_25:doc_c8e972bf
page_layout,0666e4554802172aedfe8b7d814ce293ec53ec2c,2,2,2,ИОС5.1,1724_25|1725_25,1724_25:doc_5efb363f|1725_25:doc_726dfa3d
page_layout,0b1003c1d8f11a16e4bc396e97c57993dfbf6b23,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,10e702ed9c719c6f97dce74631517c8144e809f5,2,2,2,ИОС5.1,1724_25|1725_25,1724_25:doc_5efb363f|1725_25:doc_726dfa3d
page_layout,11f5face6384518dcc945d6dcd3d499384c4dd72,2,2,2,ПОКР,1724_25|1725_25,1724_25:doc_34536dc1|1725_25:doc_32fcaa56
page_layout,123f8c01e2cc26b7b7baaacb4c9cd94e8f00b946,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,136d11703cbc0d891837926f19f535ea75e2cfe0,2,2,2,КР,1724_25|1725_25,1724_25:doc_a624e984|1725_25:doc_93cc45b2
page_layout,15bb535a0c445adca7c2acdfedf8f8adf5e3b361,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,1d6909dc81d3ad71ef4b066f9cf854f698eb3aaa,2,2,2,АР,1724_25|1725_25,1724_25:doc_984f5a08|1725_25:doc_96e96f2d
page_layout,1f661a1526a19ea29c8734d76291f0dbd94b73a1,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,22f52e8ba656134735f2a5cbf8094db660e10be9,2,2,2,АР,1724_25|1725_25,1724_25:doc_984f5a08|1725_25:doc_96e96f2d
page_layout,25cea667b537b8d675fdbefaf463d3c225843283,2,2,2,ИОС5.5.1,1724_25|1725_25,1724_25:doc_48ee9de4|1725_25:doc_3555e5a4
page_layout,2afd3a067283580f098845e86e204724c50053b1,2,2,2,ПОКР,1724_25|1725_25,1724_25:doc_34536dc1|1725_25:doc_32fcaa56
page_layout,2c8181b21b14a6278ab06316cc0c0d9535e239ff,2,2,1,ИД|ИОС5.4.1,1725_25,1725_25:doc_10be5f2b|1725_25:doc_df6a5246
page_layout,2d02ba7d2962327e0a34710781020ce55b2eb755,2,2,2,КР,1724_25|1725_25,1724_25:doc_a624e984|1725_25:doc_93cc45b2
page_layout,2d29b0dfc5c95819c3a500631164e69626819e35,2,2,2,КР,1724_25|1725_25,1724_25:doc_a624e984|1725_25:doc_93cc45b2
page_layout,2e279aace9f223512f885f68e6eb6c0b9cd82444,2,2,2,КР,1724_25|1725_25,1724_25:doc_a624e984|1725_25:doc_93cc45b2
page_layout,3134792eb78570bbddea4883c163c9e8b6d82306,2,2,2,ИОС5.1,1724_25|1725_25,1724_25:doc_5efb363f|1725_25:doc_726dfa3d
page_layout,359953b806ff155a9f8f2a518d9f68dfb9535f4e,2,2,1,ИД|ИОС5.4.1,1724_25,1724_25:doc_801fee11|1724_25:doc_c8e972bf
page_layout,3c60439b875ec77eb23e520745bf913894561bd6,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,4109d38708e9895ca34b87bf29663b2d56560182,2,2,2,ИОС5.5.1,1724_25|1725_25,1724_25:doc_48ee9de4|1725_25:doc_3555e5a4
page_layout,429dfd0b845a498e822323d59ee1f0bdbf03f720,2,2,1,ИД|ИОС5.4.1,1724_25,1724_25:doc_801fee11|1724_25:doc_c8e972bf
page_layout,438d1bb2153a6e35e95b165f65118b30294cc45b,2,2,2,ПОКР,1724_25|1725_25,1724_25:doc_34536dc1|1725_25:doc_32fcaa56
page_layout,49577ba8528249b185b514af1cabeedbd4762a8c,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,4ebf38abcfd920c0cb23c7c6d3e59830ac305fdb,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,5036794f2e43f72d6cce8727823c48f7dad211d6,2,2,1,ИД|ИОС5.4.1,1724_25,1724_25:doc_801fee11|1724_25:doc_c8e972bf
page_layout,5688ab5404864873527756365e73d23727d388f1,2,2,2,ИОС5.4.1,1724_25|1725_25,1724_25:doc_c8e972bf|1725_25:doc_10be5f2b
page_layout,5aacd9f9c05e247cc72005279f2ab0eb4f256b97,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,5f647cf7886f0a9abb01ecd57b0da283d7560777,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,62bed261e514dc49f27e081781bfefe4e60f7a68,2,2,2,КР,1724_25|1725_25,1724_25:doc_a624e984|1725_25:doc_93cc45b2
page_layout,6a19d2e30ca8f6f343a9bd6f8ce6a1bba598cd46,2,2,2,ПОКР,1724_25|1725_25,1724_25:doc_34536dc1|1725_25:doc_32fcaa56
page_layout,6f053150beed2539c7d3f5a88b09e1ba7656a566,2,2,2,ИОС5.5.1,1724_25|1725_25,1724_25:doc_48ee9de4|1725_25:doc_3555e5a4
page_layout,7044b3f7c0ea2dd59367d1a6f22fda8a5b41bd27,2,2,2,ИОС5.5.1,1724_25|1725_25,1724_25:doc_48ee9de4|1725_25:doc_3555e5a4
page_layout,7bf94d5c72c02063e2f3ca8b6f0eb26f7a4ba4dc,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,821926aff8e0dafa1218f8c028a83d36bf0c8ca6,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,8669a78d2d5478aa6d8281df7033dae3bc0dc710,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,8f0088f35759f5d1863faa668684e11bb3877592,2,2,2,СМ,1724_25|1725_25,1724_25:doc_b44ce08b|1725_25:doc_c985f0bc
page_layout,8f68aa0f2e91f54f586c6249f7619335932f5df1,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,903bdb85cf104a84a75fa6f41414c89d2952a935,2,2,2,ИОС5.4.1,1724_25|1725_25,1724_25:doc_c8e972bf|1725_25:doc_10be5f2b
page_layout,921033b211cdcc06d504a6dda9272573d5c74a12,2,2,2,ИОС5.5.1,1724_25|1725_25,1724_25:doc_48ee9de4|1725_25:doc_3555e5a4
page_layout,96e554a499f7ceb332c251668cf1c27814db3920,2,2,2,ПОКР,1724_25|1725_25,1724_25:doc_34536dc1|1725_25:doc_32fcaa56
page_layout,97483ede1404985afb1243174d5ea78870acced5,2,2,2,АР,1724_25|1725_25,1724_25:doc_984f5a08|1725_25:doc_96e96f2d
page_layout,a1c92274014edcf0cda348a6367e5c5e9c9eaa71,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,a3525e37e1c975cc2db9cc5128bb002d758933a1,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,a74613a683ddbe5e8eab2582dfd0b14d2157b9a2,2,2,1,ИД|ИОС5.4.1,1725_25,1725_25:doc_10be5f2b|1725_25:doc_df6a5246
page_layout,aa5509cb1b8388b0ff867a7b2023cf0d0f3da4e1,2,2,2,КР,1724_25|1725_25,1724_25:doc_a624e984|1725_25:doc_93cc45b2
page_layout,ab32d4c9c4b6dceb67be5adde309958664a65584,2,2,2,КР,1724_25|1725_25,1724_25:doc_a624e984|1725_25:doc_93cc45b2
page_layout,af3dc4705864c04ad422a5bc87498506884c465d,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,aff572dbf649cd2871b3a323ebfcb43db9629833,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,b2cd03fd624e458bf58d290378ae37f5621f8fb2,2,2,1,ИД|ИОС5.4.1,1725_25,1725_25:doc_10be5f2b|1725_25:doc_df6a5246
page_layout,b96a67b6daafe73e10374be9d844bbc55a051554,2,2,2,ПОКР,1724_25|1725_25,1724_25:doc_34536dc1|1725_25:doc_32fcaa56
page_layout,c311b3963efb22600c14317c3a9862320078cd81,2,2,2,СМ,1724_25|1725_25,1724_25:doc_b44ce08b|1725_25:doc_c985f0bc
page_layout,c57c69ac08f06e9467021e54e896c276a2478f28,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,c8dc7a7b1faff01591bf1ef1900d3956f99cf252,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,ca3578b9506e531d7e638d91811740cdbc24e6c9,2,2,2,ПОКР,1724_25|1725_25,1724_25:doc_34536dc1|1725_25:doc_32fcaa56
page_layout,cd673b84cd08d5d74e0eea775d88122fc47580c0,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,d2f0cecac7c7a0a39d993fee19fc145db988d0da,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,deefe12f88a3b2ec262abd42eda6f79ba9e0262c,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,e3a7b6a4bcfd0cec47b70af5b966723bcda7b9ba,2,2,2,ИОС5.1,1724_25|1725_25,1724_25:doc_5efb363f|1725_25:doc_726dfa3d
page_layout,e8f1ee2d0479a1e1efbe81d1602fb898eadef84d,2,2,2,ПОКР,1724_25|1725_25,1724_25:doc_34536dc1|1725_25:doc_32fcaa56
page_layout,ea7d3ef3347fc389ed9c8e15aec8ff4133823075,2,2,2,АР,1724_25|1725_25,1724_25:doc_984f5a08|1725_25:doc_96e96f2d
page_layout,f23709e1a2565306cc7c000afb168524859be12e,2,2,2,АР,1724_25|1725_25,1724_25:doc_984f5a08|1725_25:doc_96e96f2d
page_layout,f79d25ee2b4486c2a46330b1ebdc00267a63e033,2,2,2,ИОС5.4.1,1724_25|1725_25,1724_25:doc_c8e972bf|1725_25:doc_10be5f2b
page_layout,f84d0c0c0f7b9cb4e101aa9dd9c38959884b9e6c,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
page_layout,fe17d50965fe87156cb1323aa96cf2bd736b2974,2,2,2,ПОКР,1724_25|1725_25,1724_25:doc_34536dc1|1725_25:doc_32fcaa56
table_content,2b6346809c816faa519fa0b65122f5420979d0bd,32,16,2,АР|ИД|ИОС5.1|ИОС5.4.1|ИОС5.5.1|КР|ПОКР|СМ,1724_25|1725_25,1724_25:doc_34536dc1|1724_25:doc_48ee9de4|1724_25:doc_5efb363f|1724_25:doc_801fee11|1724_25:doc_984f5a08|1724_25:doc_a624e984|1724_25:doc_b44ce08b|1724_25:doc_c8e972bf|1725_25:doc_10be5f2b|1725_25:doc_32fcaa56|1725_25:doc_3555e5a4|1725_25:doc_726dfa3d|1725_25:doc_93cc45b2|1725_25:doc_96e96f2d|1725_25:doc_c985f0bc|1725_25:doc_df6a5246
table_content,5adf10756609caf15c11c208e512238c5505102b,16,16,2,АР|ИД|ИОС5.1|ИОС5.4.1|ИОС5.5.1|КР|ПОКР|СМ,1724_25|1725_25,1724_25:doc_34536dc1|1724_25:doc_48ee9de4|1724_25:doc_5efb363f|1724_25:doc_801fee11|1724_25:doc_984f5a08|1724_25:doc_a624e984|1724_25:doc_b44ce08b|1724_25:doc_c8e972bf|1725_25:doc_10be5f2b|1725_25:doc_32fcaa56|1725_25:doc_3555e5a4|1725_25:doc_726dfa3d|1725_25:doc_93cc45b2|1725_25:doc_96e96f2d|1725_25:doc_c985f0bc|1725_25:doc_df6a5246
table_content,b06e6e23bd6f1ae680acc3fdd12c5f930709ebda,4,4,2,ИД|СМ,1724_25|1725_25,1724_25:doc_801fee11|1724_25:doc_b44ce08b|1725_25:doc_c985f0bc|1725_25:doc_df6a5246
table_content,fed796bbf844f44525d4220bcfda802a57f3e45a,4,4,2,ИД|СМ,1724_25|1725_25,1724_25:doc_801fee11|1724_25:doc_b44ce08b|1725_25:doc_c985f0bc|1725_25:doc_df6a5246
table_content,2a2443ca02bcfe99779cfa79c4be13dc47197a2f,3,2,2,СМ,1724_25|1725_25,1724_25:doc_b44ce08b|1725_25:doc_c985f0bc
table_content,38c13d3ec61a752f692dbec84813f6a9a5c7c90d,3,3,2,ИОС5.1|ИОС5.5.1,1724_25|1725_25,1724_25:doc_48ee9de4|1724_25:doc_5efb363f|1725_25:doc_3555e5a4
table_content,018c806b840994505149ceaefccaf47cd9f2e9aa,2,2,2,ИОС5.5.1,1724_25|1725_25,1724_25:doc_48ee9de4|1725_25:doc_3555e5a4
table_content,0439fb01b0416c44ae30acbcb5d5ba94216a43e2,2,2,2,ПОКР,1724_25|1725_25,1724_25:doc_34536dc1|1725_25:doc_32fcaa56
table_content,08755969050313f07f8206043e274ac2d4869981,2,2,1,ИОС5.1|ИОС5.5.1,1724_25,1724_25:doc_48ee9de4|1724_25:doc_5efb363f
table_content,0dc5c4c33142008a887f364a5ef5b2ec3254851b,2,2,2,ИОС5.5.1,1724_25|1725_25,1724_25:doc_48ee9de4|1725_25:doc_3555e5a4
table_content,174cfbe3e5aafb6309dbed1e587cd1ac4091f010,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,207278db25270484cc118317eedd2341036cf696,2,2,2,ИОС5.1,1724_25|1725_25,1724_25:doc_5efb363f|1725_25:doc_726dfa3d
table_content,21c2b402ab4cf75e36b655807aebd9620675a49a,2,2,2,ИОС5.4.1,1724_25|1725_25,1724_25:doc_c8e972bf|1725_25:doc_10be5f2b
table_content,275a7b19b3e7e9aefe0992e48d01bdc771a02dd2,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,2a840fdf6794729c73202338205eb5122f220a01,2,2,2,ИОС5.4.1,1724_25|1725_25,1724_25:doc_c8e972bf|1725_25:doc_10be5f2b
table_content,3dba80d1f42e42ad5c7126f28fa5132b0b211d16,2,2,2,ИОС5.1,1724_25|1725_25,1724_25:doc_5efb363f|1725_25:doc_726dfa3d
table_content,438fd2b1510fa2ca6d2df346c53d515af84717f4,2,2,2,ИОС5.1,1724_25|1725_25,1724_25:doc_5efb363f|1725_25:doc_726dfa3d
table_content,4bc72d0bd8c311496dbef4f58607103e326388dd,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,4fe6d1d360f7e815da9318089a2e75b3df642de8,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,521dc81fb4c10bc27141e74c44053d70c06acce9,2,2,2,КР,1724_25|1725_25,1724_25:doc_a624e984|1725_25:doc_93cc45b2
table_content,53df78d309fb73c047c95e53b570b27391f90e28,2,2,2,КР,1724_25|1725_25,1724_25:doc_a624e984|1725_25:doc_93cc45b2
table_content,552f27a54f98c7f5bf0bb3b8ba5e8974317946bd,2,2,1,ИОС5.1|ИОС5.5.1,1724_25,1724_25:doc_48ee9de4|1724_25:doc_5efb363f
table_content,564c475e5b92aa305bae463cc12b8d7de486e467,2,2,2,ИОС5.4.1,1724_25|1725_25,1724_25:doc_c8e972bf|1725_25:doc_10be5f2b
table_content,590eb5f0e06c6702dbdd2046215e4c3d980150a0,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,5b92a90924916861d3ceafaf2012c641e40cbb9b,2,2,2,ИОС5.5.1,1724_25|1725_25,1724_25:doc_48ee9de4|1725_25:doc_3555e5a4
table_content,5dd9b2679d3a5c9a6daf0cbdfd14a57d40395082,2,2,2,ИОС5.1,1724_25|1725_25,1724_25:doc_5efb363f|1725_25:doc_726dfa3d
